cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
Crottin de Champcol,https://www.cheese.com/crottin-de-champcol/,goat,France,,Feta,soft,23.10%,431.9 mg/100g,"crumbly, dense",,white,full-flavored,strong,,,,,
Bianca,https://www.cheese.com/bianca/,"goat, sheep",United States,"Tieton, Washington",Feta,"fresh soft, artisan",23.30%,416.6 mg/100g,"soft, spreadable",rindless,ivory,"creamy, tangy","fresh, rich",,,,,Tieton Farm & Creamery
Ackawi,https://www.cheese.com/ackawi/,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",+,Feta,"soft, brined",24.10%,421.1 mg/100g,"elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",FALSE,FALSE,,"Akkawi , Akawieh, Akawi",
President Fat Free Feta,https://www.cheese.com/president-fat-free-feta/,cow,"France, United States",New York,Feta,"firm, artisan, brined",22.90%,473.2 mg/100g,crumbly,natural,white,"herbaceous, salty, tangy",fresh,,,"Fat Free Feta Crumbles, Fat Free Feta Chunk",,President Cheese
Crottin de Chavignol,https://www.cheese.com/crottin-de-chavignol/,goat,France,,Feta,"firm, soft-ripened",20.10%,411.0 mg/100g,crumbly,natural,white,full-flavored,strong,,,"Crottin Du Chavignol, Crottin",,
Lemon Myrtle Chevre,https://www.cheese.com/lemon-myrtle-chevre/,goat,Australia,South Australia,Feta,"fresh firm, artisan",20.30%,412.2 mg/100g,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",TRUE,FALSE,,,Woodside Cheese Wrights
Sirene,https://www.cheese.com/sirene/,"cow, goat, sheep","Albania, Bulgaria, Croatia, Greece, Israel, Macedonia, Romania, Serbia",Trakia,Feta,"fresh soft, brined",20.10%,464.6 mg/100g,"crumbly, grainy, smooth",natural,white,"lemony, salty, sharp, tangy",strong,FALSE,FALSE,Sirenje,,
Monet,https://www.cheese.com/monet/,goat,Australia,South Australia,Feta,"fresh soft, artisan",23.20%,410.3 mg/100g,"creamy, soft",,white,"floral, herbaceous","floral, fresh",TRUE,FALSE,,,Woodside Cheese Wrights
St Tola Greek Style,https://www.cheese.com/st-tola-greek-style/,goat,Ireland,Co Clare,Feta,"firm, brined",22.70%,475.0 mg/100g,smooth,rindless,white,"creamy, salty",goaty,,,,,Inagh Farmhouse Cheese Ltd
Sgt. Pepper,https://www.cheese.com/sgt-pepper/,goat,United States,California,Feta,fresh soft,22.70%,409.2 mg/100g,"creamy, smooth, spreadable",rindless,white,"full-flavored, spicy","fresh, spicy",TRUE,FALSE,,,Cypress Grove Chevre
Sirene,https://www.cheese.com/sirene/,"cow, goat, sheep","Albania, Bulgaria, Croatia, Greece, Israel, Macedonia, Romania, Serbia",Trakia,Feta,"fresh soft, brined",20.10%,464.6 mg/100g,"crumbly, grainy, smooth",natural,white,"lemony, salty, sharp, tangy",strong,FALSE,FALSE,Sirenje,,
Crottin de Champcol,https://www.cheese.com/crottin-de-champcol/,goat,France,,Feta,soft,23.10%,431.9 mg/100g,"crumbly, dense",,white,full-flavored,strong,,,,,
Président Fresh Goat Cheese,https://www.cheese.com/president-fresh-goat-cheese/,goat,France,Poitou-Charentes,Feta,"fresh firm, artisan",24.40%,499.8 mg/100g,"dense, smooth",natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",,,"Président plain goat log, Président herb goat log",,President Cheese
Petit-Suisse,https://www.cheese.com/petit-suisse/,cow,France,"Normandy, Auvilliers",Feta,fresh soft,23.60%,401.2 mg/100g,"creamy, smooth",rindless,white,"mild, sweet",fresh,,,,"double Suisse, double Petit-Suisse, Suisse double",Danone
Petit-Suisse,https://www.cheese.com/petit-suisse/,cow,France,"Normandy, Auvilliers",Feta,fresh soft,23.60%,401.2 mg/100g,"creamy, smooth",rindless,white,"mild, sweet",fresh,,,,"double Suisse, double Petit-Suisse, Suisse double",Danone
St Tola Divine,https://www.cheese.com/st-tola-divine/,goat,,"Inagh, Co Clare",Feta,"fresh soft, artisan",25.00%,431.8 mg/100g,"creamy, soft, spreadable",rindless,white,"lemony, mild, milky","floral, mild, milky",FALSE,FALSE,,,Inagh Farmhouse Cheese Ltd
Président Fresh Goat Cheese,https://www.cheese.com/president-fresh-goat-cheese/,goat,France,Poitou-Charentes,Feta,"fresh firm, artisan",24.40%,499.8 mg/100g,"dense, smooth",natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",,,"Président plain goat log, Président herb goat log",,President Cheese
Lemon Myrtle Chevre,https://www.cheese.com/lemon-myrtle-chevre/,goat,Australia,South Australia,Feta,"fresh firm, artisan",20.30%,412.2 mg/100g,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",TRUE,FALSE,,,Woodside Cheese Wrights
Bouyguette,https://www.cheese.com/bouyguette/,goat,France,,Feta,fresh soft,21.00%,452.6 mg/100g,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE,,,
Allium Piper,https://www.cheese.com/allium-piper/,goat,Australia,South Australia,Feta,"fresh soft, artisan",23.10%,447.3 mg/100g,"creamy, soft",,white,"garlicky, spicy","fresh, garlicky, spicy",TRUE,FALSE,"Woodside Chevre - Allium Piper, Woodside Allium Piper",,Woodside Cheese Wrights
Barambah Organics Marinated Feta,https://www.cheese.com/barambah-organics-marinated-feta/,cow,Australia,Brisbane,Feta,fresh soft,22.90%,480.5 mg/100g,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",TRUE,FALSE,,,Barambah Organics Pty Ltd.
Petit-Suisse,https://www.cheese.com/petit-suisse/,cow,France,"Normandy, Auvilliers",Feta,fresh soft,23.60%,401.2 mg/100g,"creamy, smooth",rindless,white,"mild, sweet",fresh,,,,"double Suisse, double Petit-Suisse, Suisse double",Danone
Bianca,https://www.cheese.com/bianca/,"goat, sheep",United States,"Tieton, Washington",Feta,"fresh soft, artisan",23.30%,416.6 mg/100g,"soft, spreadable",rindless,ivory,"creamy, tangy","fresh, rich",,,,,Tieton Farm & Creamery
Petit-Suisse,https://www.cheese.com/petit-suisse/,cow,France,"Normandy, Auvilliers",Feta,fresh soft,23.60%,401.2 mg/100g,"creamy, smooth",rindless,white,"mild, sweet",fresh,,,,"double Suisse, double Petit-Suisse, Suisse double",Danone
Sirene,https://www.cheese.com/sirene/,"cow, goat, sheep","Albania, Bulgaria, Croatia, Greece, Israel, Macedonia, Romania, Serbia",Trakia,Feta,"fresh soft, brined",20.10%,464.6 mg/100g,"crumbly, grainy, smooth",natural,white,"lemony, salty, sharp, tangy",strong,FALSE,FALSE,Sirenje,,
Carboncino,https://www.cheese.com/carboncino/,"cow, goat, sheep",Italy,,Cottage,fresh soft,7.70%,61.5 mg/100g,"creamy, gooey, runny, soft",,white,,,,,,,
LaClare Farms Martone,https://www.cheese.com/laclare-farms-martone/,goat,United States,Wisconsin,Cottage,semi-soft,5.10%,67.4 mg/100g,creamy,ash coated,white,"sweet, tangy","buttery, fresh",TRUE,FALSE,,,LaClare Farms
L'Affine Au Chablis,https://www.cheese.com/laffine-au-chablis/,cow,France,,Cottage,"soft, semi-soft",6.40%,71.8 mg/100g,"creamy, soft",washed,pale yellow,,"floral, fruity",,,,,
Cottage Cheese,https://www.cheese.com/cottage-cheese/,cow,"United Kingdom, United States",,Cottage,"soft, artisan, processed",7.20%,62.8 mg/100g,"creamy, crumbly",rindless,white,sweet,,TRUE,FALSE,,,
Carlina,https://www.cheese.com/carlina/,cow,Italy,Veneto,Cottage,"fresh soft, artisan",5.20%,74.7 mg/100g,creamy,bloomy,white,subtle,fresh,FALSE,FALSE,,,La Casearia Carpenedo S.r.l.
Laganory,https://www.cheese.com/laganory/,cow,Scotland,,Cottage,firm,7.90%,71.0 mg/100g,"brittle, compact, dry, grainy",natural,pale yellow,"nutty, salty, subtle","earthy, grassy, raw nut, subtle",TRUE,FALSE,,,The Ethical Dairy
Carboncino,https://www.cheese.com/carboncino/,"cow, goat, sheep",Italy,,Cottage,fresh soft,7.70%,61.5 mg/100g,"creamy, gooey, runny, soft",,white,,,,,,,
Pule,https://www.cheese.com/pule/,donkey,Serbia,Zasavica,Cottage,artisan,6.10%,77.5 mg/100g,crumbly,,white,,,,,magareći sir,,
LaClare Farms Chevre,https://www.cheese.com/laclare-farms-chevre/,goat,United States,Wisconsin,Cottage,fresh soft,5.60%,62.6 mg/100g,creamy,rindless,white,"mild, sweet",fresh,TRUE,FALSE,,,LaClare Farms
Maroilles,https://www.cheese.com/maroilles/,cow,France,,Cottage,"soft, artisan",7.10%,68.2 mg/100g,"creamy, smooth",washed,,sweet,,FALSE,FALSE,,Marolles,
Cottage Cheese,https://www.cheese.com/cottage-cheese/,cow,"United Kingdom, United States",,Cottage,"soft, artisan, processed",7.20%,62.8 mg/100g,"creamy, crumbly",rindless,white,sweet,,TRUE,FALSE,,,
Cottage Cheese,https://www.cheese.com/cottage-cheese/,cow,"United Kingdom, United States",,Cottage,"soft, artisan, processed",7.20%,62.8 mg/100g,"creamy, crumbly",rindless,white,sweet,,TRUE,FALSE,,,
Paneer,https://www.cheese.com/paneer/,"cow, water buffalo","Bangladesh, India",,Cottage,fresh firm,7.20%,63.1 mg/100g,"crumbly, firm",rindless,white,milky,"fresh, milky",TRUE,FALSE,"Chhena, Chhana",,
Laganory,https://www.cheese.com/laganory/,cow,Scotland,,Cottage,firm,7.90%,71.0 mg/100g,"brittle, compact, dry, grainy",natural,pale yellow,"nutty, salty, subtle","earthy, grassy, raw nut, subtle",TRUE,FALSE,,,The Ethical Dairy
Basket Cheese,https://www.cheese.com/basket-cheese/,cow,Middle East,,Cottage,"soft, semi-soft",7.50%,72.4 mg/100g,"chewy, supple",rindless,white,"mild, salty",milky,TRUE,FALSE,,,"Specialty Cheese Company, Inc"
Carlina,https://www.cheese.com/carlina/,cow,Italy,Veneto,Cottage,"fresh soft, artisan",5.20%,74.7 mg/100g,creamy,bloomy,white,subtle,fresh,FALSE,FALSE,,,La Casearia Carpenedo S.r.l.
Paneer,https://www.cheese.com/paneer/,"cow, water buffalo","Bangladesh, India",,Cottage,fresh firm,7.20%,63.1 mg/100g,"crumbly, firm",rindless,white,milky,"fresh, milky",TRUE,FALSE,"Chhena, Chhana",,
Bandal,https://www.cheese.com/bandal/,cow,India,West Bengal,Cottage,"semi-soft, artisan",7.60%,60.1 mg/100g,crumbly,rindless,,"salty, smokey , strong",strong,TRUE,FALSE,,Bandel,
Langres,https://www.cheese.com/langres/,cow,France,,Cottage,semi-soft,7.40%,79.1 mg/100g,"crumbly, firm",washed,orange,,strong,,,,,
Laganory,https://www.cheese.com/laganory/,cow,Scotland,,Cottage,firm,7.90%,71.0 mg/100g,"brittle, compact, dry, grainy",natural,pale yellow,"nutty, salty, subtle","earthy, grassy, raw nut, subtle",TRUE,FALSE,,,The Ethical Dairy
Anthotyro Fresco,https://www.cheese.com/anthotyro-fresco/,"goat, sheep",Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",Cottage,"semi-soft, whey",6.70%,70.6 mg/100g,"creamy, smooth",rindless,white,sweet,,,,"Fresh Anthotyro, Anthotiro",,
Paneer,https://www.cheese.com/paneer/,"cow, water buffalo","Bangladesh, India",,Cottage,fresh firm,7.20%,63.1 mg/100g,"crumbly, firm",rindless,white,milky,"fresh, milky",TRUE,FALSE,"Chhena, Chhana",,
Cottage Cheese (Australian),https://www.cheese.com/cottage-cheese-australian/,cow,Australia,,Cottage,fresh soft,6.30%,78.4 mg/100g,"crumbly, firm, grainy",rindless,white,"mild, sweet","lactic, milky",TRUE,FALSE,,,
Bourdin Goat Log,https://www.cheese.com/bourdin-goat-log/,goat,France,,Cottage,soft,7.10%,78.6 mg/100g,"creamy, soft",rindless,,"creamy, tangy",fresh,,,"Bourdin Chevre, Chevre by Bourdin",,
Anthotyro Fresco,https://www.cheese.com/anthotyro-fresco/,"goat, sheep",Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",Cottage,"semi-soft, whey",6.70%,70.6 mg/100g,"creamy, smooth",rindless,white,sweet,,,,"Fresh Anthotyro, Anthotiro",,
Laganory,https://www.cheese.com/laganory/,cow,Scotland,,Cottage,firm,7.90%,71.0 mg/100g,"brittle, compact, dry, grainy",natural,pale yellow,"nutty, salty, subtle","earthy, grassy, raw nut, subtle",TRUE,FALSE,,,The Ethical Dairy
Anneau du Vic-Bilh,https://www.cheese.com/anneau-du-vic-bilh/,goat,France,Pyrenees-Atlantiques,Cottage,"soft, artisan",6.00%,66.1 mg/100g,"creamy, smooth",,white,"acidic, nutty, salty, smokey","earthy, nutty, smokey",FALSE,FALSE,,,
Cottage Cheese (Australian),https://www.cheese.com/cottage-cheese-australian/,cow,Australia,,Cottage,fresh soft,6.30%,78.4 mg/100g,"crumbly, firm, grainy",rindless,white,"mild, sweet","lactic, milky",TRUE,FALSE,,,
Pule,https://www.cheese.com/pule/,donkey,Serbia,Zasavica,Cottage,artisan,6.10%,77.5 mg/100g,crumbly,,white,,,,,magareći sir,,
Langres,https://www.cheese.com/langres/,cow,France,,Cottage,semi-soft,7.40%,79.1 mg/100g,"crumbly, firm",washed,orange,,strong,,,,,
Cottage Cheese (Australian),https://www.cheese.com/cottage-cheese-australian/,cow,Australia,,Cottage,fresh soft,6.30%,78.4 mg/100g,"crumbly, firm, grainy",rindless,white,"mild, sweet","lactic, milky",TRUE,FALSE,,,
Panela,https://www.cheese.com/panela/,cow,Mexico,,Cottage,"fresh firm, artisan",7.60%,66.9 mg/100g,"creamy, crumbly",,white,,"fresh, mild",,,Queso Panela,,
La Taupiniere,https://www.cheese.com/la-taupiniere/,goat,France,Poitou-Charentes,Cottage,"soft, artisan",6.20%,69.7 mg/100g,"creamy, smooth",natural,white,"sour, tangy","aromatic, nutty",FALSE,FALSE,Taupinette,Taupiniere,Fromagerie Jousseaume
Chhurpi,https://www.cheese.com/chhurpi/,"cow, yak","China, Nepal, Tibet",,Cottage,"soft, hard, artisan",5.90%,60.3 mg/100g,dense,natural,pale yellow,tangy,,,,"Durkha, Chhur singba, Sherkam, Chhur mingba",Churpi,
La Casatella,https://www.cheese.com/la-casatella/,cow,Italy,Veneto,Cottage,"fresh soft, artisan",7.40%,73.8 mg/100g,"compact, soft",natural,white,"subtle, sweet",lactic,FALSE,FALSE,,,La Casearia Carpenedo S.r.l.
L'Affine Au Chablis,https://www.cheese.com/laffine-au-chablis/,cow,France,,Cottage,"soft, semi-soft",6.40%,71.8 mg/100g,"creamy, soft",washed,pale yellow,,"floral, fruity",,,,,
L'Affine Au Chablis,https://www.cheese.com/laffine-au-chablis/,cow,France,,Cottage,"soft, semi-soft",6.40%,71.8 mg/100g,"creamy, soft",washed,pale yellow,,"floral, fruity",,,,,
LaClare Farms Chevre,https://www.cheese.com/laclare-farms-chevre/,goat,United States,Wisconsin,Cottage,fresh soft,5.60%,62.6 mg/100g,creamy,rindless,white,"mild, sweet",fresh,TRUE,FALSE,,,LaClare Farms
Cottage Cheese (Australian),https://www.cheese.com/cottage-cheese-australian/,cow,Australia,,Cottage,fresh soft,6.30%,78.4 mg/100g,"crumbly, firm, grainy",rindless,white,"mild, sweet","lactic, milky",TRUE,FALSE,,,
Maroilles,https://www.cheese.com/maroilles/,cow,France,,Cottage,"soft, artisan",7.10%,68.2 mg/100g,"creamy, smooth",washed,,sweet,,FALSE,FALSE,,Marolles,
LaClare Farms Martone,https://www.cheese.com/laclare-farms-martone/,goat,United States,Wisconsin,Cottage,semi-soft,5.10%,67.4 mg/100g,creamy,ash coated,white,"sweet, tangy","buttery, fresh",TRUE,FALSE,,,LaClare Farms
Panela,https://www.cheese.com/panela/,cow,Mexico,,Cottage,"fresh firm, artisan",7.60%,66.9 mg/100g,"creamy, crumbly",,white,,"fresh, mild",,,Queso Panela,,
Bandal,https://www.cheese.com/bandal/,cow,India,West Bengal,Cottage,"semi-soft, artisan",7.60%,60.1 mg/100g,crumbly,rindless,,"salty, smokey , strong",strong,TRUE,FALSE,,Bandel,
Basket Molded Ricotta,https://www.cheese.com/basket-molded-ricotta/,cow,,,Cottage,fresh firm,7.80%,76.7 mg/100g,firm,,white,"creamy, sweet",fresh,,,,,
LaClare Farms Chevre,https://www.cheese.com/laclare-farms-chevre/,goat,United States,Wisconsin,Cottage,fresh soft,5.60%,62.6 mg/100g,creamy,rindless,white,"mild, sweet",fresh,TRUE,FALSE,,,LaClare Farms
Carboncino,https://www.cheese.com/carboncino/,"cow, goat, sheep",Italy,,Cottage,fresh soft,7.70%,61.5 mg/100g,"creamy, gooey, runny, soft",,white,,,,,,,
Laganory,https://www.cheese.com/laganory/,cow,Scotland,,Cottage,firm,7.90%,71.0 mg/100g,"brittle, compact, dry, grainy",natural,pale yellow,"nutty, salty, subtle","earthy, grassy, raw nut, subtle",TRUE,FALSE,,,The Ethical Dairy
Carre de l'Est,https://www.cheese.com/carre-de-lest/,cow,France,,Cottage,soft,4.10%,76.3 mg/100g,smooth,washed,pale yellow,smokey,,,,,,
Carboncino,https://www.cheese.com/carboncino/,"cow, goat, sheep",Italy,,Cottage,fresh soft,7.70%,61.5 mg/100g,"creamy, gooey, runny, soft",,white,,,,,,,
Labneh,https://www.cheese.com/labneh/,cow,Middle East,,Cottage,soft,6.20%,67.6 mg/100g,creamy,rindless,white,"creamy, milky, sour","fresh, mild",,,"labaneh, chakka, lebnah, suzma",labne,
Basket Cheese,https://www.cheese.com/basket-cheese/,cow,Middle East,,Cottage,"soft, semi-soft",7.50%,72.4 mg/100g,"chewy, supple",rindless,white,"mild, salty",milky,TRUE,FALSE,,,"Specialty Cheese Company, Inc"
Panela,https://www.cheese.com/panela/,cow,Mexico,,Cottage,"fresh firm, artisan",7.60%,66.9 mg/100g,"creamy, crumbly",,white,,"fresh, mild",,,Queso Panela,,
Crowdie,https://www.cheese.com/crowdie/,cow,Scotland,,Cottage,fresh soft,7.10%,72.5 mg/100g,"creamy, crumbly",natural,white,sour,,TRUE,FALSE,,,Highland Fine Cheeses Limited
Labneh,https://www.cheese.com/labneh/,cow,Middle East,,Cottage,soft,6.20%,67.6 mg/100g,creamy,rindless,white,"creamy, milky, sour","fresh, mild",,,"labaneh, chakka, lebnah, suzma",labne,
Pule,https://www.cheese.com/pule/,donkey,Serbia,Zasavica,Cottage,artisan,6.10%,77.5 mg/100g,crumbly,,white,,,,,magareći sir,,
Carre de l'Est,https://www.cheese.com/carre-de-lest/,cow,France,,Cottage,soft,4.10%,76.3 mg/100g,smooth,washed,pale yellow,smokey,,,,,,
Pule,https://www.cheese.com/pule/,donkey,Serbia,Zasavica,Cottage,artisan,6.10%,77.5 mg/100g,crumbly,,white,,,,,magareći sir,,
Laganory,https://www.cheese.com/laganory/,cow,Scotland,,Cottage,firm,7.90%,71.0 mg/100g,"brittle, compact, dry, grainy",natural,pale yellow,"nutty, salty, subtle","earthy, grassy, raw nut, subtle",TRUE,FALSE,,,The Ethical Dairy
Anthotyro Fresco,https://www.cheese.com/anthotyro-fresco/,"goat, sheep",Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",Cottage,"semi-soft, whey",6.70%,70.6 mg/100g,"creamy, smooth",rindless,white,sweet,,,,"Fresh Anthotyro, Anthotiro",,
LaClare Farms Martone,https://www.cheese.com/laclare-farms-martone/,goat,United States,Wisconsin,Cottage,semi-soft,5.10%,67.4 mg/100g,creamy,ash coated,white,"sweet, tangy","buttery, fresh",TRUE,FALSE,,,LaClare Farms
L'Affine Au Chablis,https://www.cheese.com/laffine-au-chablis/,cow,France,,Cottage,"soft, semi-soft",6.40%,71.8 mg/100g,"creamy, soft",washed,pale yellow,,"floral, fruity",,,,,
Carboncino,https://www.cheese.com/carboncino/,"cow, goat, sheep",Italy,,Cottage,fresh soft,7.70%,61.5 mg/100g,"creamy, gooey, runny, soft",,white,,,,,,,
Cottage Cheese (Australian),https://www.cheese.com/cottage-cheese-australian/,cow,Australia,,Cottage,fresh soft,6.30%,78.4 mg/100g,"crumbly, firm, grainy",rindless,white,"mild, sweet","lactic, milky",TRUE,FALSE,,,
Carlina,https://www.cheese.com/carlina/,cow,Italy,Veneto,Cottage,"fresh soft, artisan",5.20%,74.7 mg/100g,creamy,bloomy,white,subtle,fresh,FALSE,FALSE,,,La Casearia Carpenedo S.r.l.
L'Affine Au Chablis,https://www.cheese.com/laffine-au-chablis/,cow,France,,Cottage,"soft, semi-soft",6.40%,71.8 mg/100g,"creamy, soft",washed,pale yellow,,"floral, fruity",,,,,
Bandal,https://www.cheese.com/bandal/,cow,India,West Bengal,Cottage,"semi-soft, artisan",7.60%,60.1 mg/100g,crumbly,rindless,,"salty, smokey , strong",strong,TRUE,FALSE,,Bandel,
Crowdie,https://www.cheese.com/crowdie/,cow,Scotland,,Cottage,fresh soft,7.10%,72.5 mg/100g,"creamy, crumbly",natural,white,sour,,TRUE,FALSE,,,Highland Fine Cheeses Limited
La Taupiniere,https://www.cheese.com/la-taupiniere/,goat,France,Poitou-Charentes,Cottage,"soft, artisan",6.20%,69.7 mg/100g,"creamy, smooth",natural,white,"sour, tangy","aromatic, nutty",FALSE,FALSE,Taupinette,Taupiniere,Fromagerie Jousseaume
Basket Cheese,https://www.cheese.com/basket-cheese/,cow,Middle East,,Cottage,"soft, semi-soft",7.50%,72.4 mg/100g,"chewy, supple",rindless,white,"mild, salty",milky,TRUE,FALSE,,,"Specialty Cheese Company, Inc"
Labneh,https://www.cheese.com/labneh/,cow,Middle East,,Cottage,soft,6.20%,67.6 mg/100g,creamy,rindless,white,"creamy, milky, sour","fresh, mild",,,"labaneh, chakka, lebnah, suzma",labne,
